Team,WinPercent,Year
Denver,81.3,2013
Seattle,81.3,2013
San Francisco,75.0,2013
New England,75.0,2013
Carolina,75.0,2013
Cincinnati,68.8,2013
New Orleans,68.8,2013
Kansas City,68.8,2013
Indianapolis,68.8,2013
Philadelphia,62.5,2013
Arizona,62.5,2013
LA Chargers,56.3,2013
Green Bay,53.3,2013
Dallas,50.0,2013
NY Jets,50.0,2013
Pittsburgh,50.0,2013
Miami,50.0,2013
Baltimore,50.0,2013
Chicago,50.0,2013
NY Giants,43.8,2013
Tennessee,43.8,2013
Detroit,43.8,2013
LA Rams,43.8,2013
Buffalo,37.5,2013
Minnesota,33.3,2013
Tampa Bay,25.0,2013
Cleveland,25.0,2013
Jacksonville,25.0,2013
Atlanta,25.0,2013
Las Vegas,25.0,2013
Washington,18.8,2013
Houston,12.5,2013
Baltimore,87.5,2019
Green Bay,81.3,2019
New Orleans,81.3,2019
San Francisco,81.3,2019
Kansas City,75.0,2019
New England,75.0,2019
Seattle,68.8,2019
Buffalo,62.5,2019
Minnesota,62.5,2019
Houston,62.5,2019
Philadelphia,56.3,2019
Tennessee,56.3,2019
LA Rams,56.3,2019
Dallas,50.0,2019
Pittsburgh,50.0,2019
Chicago,50.0,2019
NY Jets,43.8,2019
Tampa Bay,43.8,2019
Atlanta,43.8,2019
Denver,43.8,2019
Las Vegas,43.8,2019
Indianapolis,43.8,2019
Cleveland,37.5,2019
Jacksonville,37.5,2019
Arizona,33.3,2019
Miami,31.3,2019
LA Chargers,31.3,2019
Carolina,31.3,2019
NY Giants,25.0,2019
Detroit,20.0,2019
Washington,18.8,2019
Cincinnati,12.5,2019
Kansas City,87.5,2020
Green Bay,81.3,2020
Buffalo,81.3,2020
New Orleans,75.0,2020
Seattle,75.0,2020
Pittsburgh,75.0,2020
Tennessee,68.8,2020
Tampa Bay,68.8,2020
Indianapolis,68.8,2020
Baltimore,68.8,2020
Cleveland,68.8,2020
LA Rams,62.5,2020
Miami,62.5,2020
Arizona,50.0,2020
Las Vegas,50.0,2020
Chicago,50.0,2020
Minnesota,43.8,2020
LA Chargers,43.8,2020
New England,43.8,2020
Washington,43.8,2020
San Francisco,37.5,2020
Dallas,37.5,2020
NY Giants,37.5,2020
Denver,31.3,2020
Detroit,31.3,2020
Carolina,31.3,2020
Philadelphia,26.7,2020
Cincinnati,26.7,2020
Houston,25.0,2020
Atlanta,25.0,2020
NY Jets,12.5,2020
Jacksonville,6.3,2020
Tampa Bay,76.5,2021
