Team,WinPercent,Year
New England,89.5,2016
Dallas,76.5,2016
Kansas City,70.6,2016
Las Vegas,70.6,2016
Atlanta,68.4,2016
Pittsburgh,68.4,2016
Seattle,64.7,2016
NY Giants,64.7,2016
Green Bay,63.2,2016
Miami,58.8,2016
Tampa Bay,56.3,2016
Denver,56.3,2016
Tennessee,56.3,2016
Houston,55.6,2016
Washington,53.3,2016
Detroit,52.9,2016
Indianapolis,50.0,2016
Baltimore,50.0,2016
Minnesota,50.0,2016
Arizona,46.7,2016
New Orleans,43.8,2016
Buffalo,43.8,2016
Philadelphia,43.8,2016
Cincinnati,40.0,2016
Carolina,37.5,2016
LA Chargers,31.3,2016
NY Jets,31.3,2016
LA Rams,25.0,2016
Chicago,18.8,2016
Jacksonville,18.8,2016
San Francisco,12.5,2016
Cleveland,6.3,2016
Baltimore,82.4,2019
Kansas City,79.0,2019
San Francisco,79.0,2019
Green Bay,77.8,2019
New Orleans,76.5,2019
New England,70.6,2019
Seattle,66.7,2019
Minnesota,61.1,2019
Houston,61.1,2019
Buffalo,58.8,2019
Tennessee,57.9,2019
LA Rams,56.3,2019
Philadelphia,52.9,2019
Dallas,50.0,2019
Pittsburgh,50.0,2019
Chicago,50.0,2019
Las Vegas,43.8,2019
Denver,43.8,2019
Indianapolis,43.8,2019
NY Jets,43.8,2019
Tampa Bay,43.8,2019
Atlanta,43.8,2019
Cleveland,37.5,2019
Jacksonville,37.5,2019
Arizona,33.3,2019
LA Chargers,31.3,2019
Miami,31.3,2019
Carolina,31.3,2019
NY Giants,25.0,2019
Detroit,20.0,2019
Washington,18.8,2019
Cincinnati,12.5,2019
Seattle,84.2,2013
Denver,79.0,2013
San Francisco,73.7,2013
New England,72.2,2013
Carolina,70.6,2013
Indianapolis,66.7,2013
New Orleans,66.7,2013
Cincinnati,64.7,2013
Kansas City,64.7,2013
Arizona,62.5,2013
Philadelphia,58.8,2013
LA Chargers,55.6,2013
Miami,50.0,2013
Dallas,50.0,2013
NY Jets,50.0,2013
Pittsburgh,50.0,2013
Baltimore,50.0,2013
Chicago,50.0,2013
Green Bay,50.0,2013
LA Rams,43.8,2013
NY Giants,43.8,2013
Tennessee,43.8,2013
Detroit,43.8,2013
Buffalo,37.5,2013
Minnesota,33.3,2013
Las Vegas,25.0,2013
Tampa Bay,25.0,2013
Cleveland,25.0,2013
Jacksonville,25.0,2013
Atlanta,25.0,2013
Washington,18.8,2013
Houston,12.5,2013
Kansas City,84.2,2020
Buffalo,79.0,2020
Green Bay,77.8,2020
Tampa Bay,75.0,2020
New Orleans,72.2,2020
Seattle,70.6,2020
Pittsburgh,70.6,2020
Baltimore,66.7,2020
Cleveland,66.7,2020
Indianapolis,64.7,2020
Tennessee,64.7,2020
Miami,62.5,2020
LA Rams,61.1,2020
Arizona,50.0,2020
Las Vegas,50.0,2020
Chicago,47.1,2020
LA Chargers,43.8,2020
New England,43.8,2020
Minnesota,43.8,2020
Washington,41.2,2020
San Francisco,37.5,2020
Dallas,37.5,2020
NY Giants,37.5,2020
Denver,31.3,2020
Detroit,31.3,2020
Carolina,31.3,2020
Philadelphia,26.7,2020
Cincinnati,26.7,2020
Atlanta,25.0,2020
Houston,25.0,2020
NY Jets,12.5,2020
Jacksonville,6.3,2020
Carolina,89.5,2015
Denver,79.0,2015
Arizona,77.8,2015
New England,72.2,2015
Cincinnati,70.6,2015
Kansas City,66.7,2015
Minnesota,64.7,2015
NY Jets,62.5,2015
Green Bay,61.1,2015
Seattle,61.1,2015
Pittsburgh,61.1,2015
Washington,52.9,2015
Houston,52.9,2015
Atlanta,50.0,2015
Buffalo,50.0,2015
Indianapolis,50.0,2015
Philadelphia,43.8,2015
Detroit,43.8,2015
New Orleans,43.8,2015
Las Vegas,43.8,2015
LA Rams,43.8,2015
Chicago,37.5,2015
Tampa Bay,37.5,2015
Miami,37.5,2015
NY Giants,37.5,2015
Baltimore,31.3,2015
Jacksonville,31.3,2015
San Francisco,31.3,2015
